"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HasOptedOutOfEmail","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","Product_Areas__c","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
0022d963-6511-4bfa-b39d-92decdf49513,fcc2aed1-e4c8-46af-bf98-2de7e29bf176,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+486@gmail.com,"#N/A","#N/A",Susanna,false,"#N/A","#N/A",Jasper,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+33 0 1 42 14 20 00,"#N/A","#N/A","#N/A",CIO,Prodly,"#N/A","#N/A",false,false
004117c4-c547-47b8-8d61-6559807c07f2,54bca9a8-9372-4586-9bfc-2dec11c83019,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+617@gmail.com,"#N/A","#N/A",Wrennie,false,"#N/A","#N/A",Bradford,"#N/A","#N/A",USA,"#N/A","#N/A","#N/A",95113,CA,5565 Maple Wood Street,"#N/A",San Jose,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prodly,"#N/A","#N/A",false,false
007187a0-78c6-4576-96d0-55791ebb8a29,9d7959f2-9e66-4b1e-8a83-c322eed8c7b8,"#N/A",(03) 7627 8781,"#N/A",CEO,"#N/A",jmanningcongagdo+3@gmail.com,"#N/A",(03) 7627 8781,Stormie,false,"#N/A","#N/A",Jason,"#N/A",Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,0410 524 770,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,(03) 7627 8781,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0127bd95-dfd0-4c73-bf4c-834806764ad6,71206387-4dbc-450b-86f6-406bd6746a3f,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+630@gmail.com,"#N/A","#N/A",Mildred,false,"#N/A","#N/A",Lambert,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+44 20 5678 9900,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
018a727d-f852-4ce5-bdc1-5b9ec5422b81,f9773027-3097-46f3-9b25-ea3cfd4342e9,"#N/A",(02) 8395 7757,"#N/A",Operations,"#N/A",jmanningcongagdo+0@gmail.com,"#N/A",(02) 8395 7757,Kaylyn,false,"#N/A","#N/A",Griff,"#N/A",Sydney,Australia,"#N/A","#N/A","#N/A",2007,NSW,390 Harris Street,0414 572 759,Sydney,Australia,"#N/A","#N/A","#N/A","#N/A",2007,NSW,390 Harris Street,(02) 8395 7757,"#N/A","#N/A","#N/A",VP of Operations,Prodly,"#N/A","#N/A",false,false
0245316d-f707-4a62-86a6-cd6a789b12f8,7f7fbf86-fab4-4006-ba03-04e3f08e2d17,"#N/A","#N/A",1977-05-20,"#N/A","#N/A",jmanningcongagdo+523@gmail.com,"#N/A","#N/A",Gussie,false,"#N/A","#N/A",Obadias,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(682) 477-1719,"#N/A","#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
02956d4f-1559-44e4-9d75-7023febde914,4de28fc3-2563-4d98-8e19-64f08a47ba4c,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+641@gmail.com,"#N/A","#N/A",Agata,false,"#N/A","#N/A",Sidnee,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",+44 20 5678 9900,"#N/A","#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
02f9ea72-7bb3-4c27-871f-2974787dd763,7cd9f91f-7b36-4140-a5a1-ea3bc21b0f6c,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+682@gmail.com,"#N/A","#N/A",Lissie,false,"#N/A","#N/A",Ave,"#N/A","#N/A",USA,"#N/A","#N/A","#N/A",11355,NY,066 Grayhawk Road,"#N/A",Flushing,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prodly,"#N/A","#N/A",false,false
03d6d5a0-2097-4ebd-905e-04e4381f7cc8,b7d34cec-a566-4924-8182-a7fce3d8f18d,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+335@gmail.com,"#N/A","#N/A",Rasia,false,"#N/A","#N/A",Verney,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(377) 490-1718,"#N/A","#N/A","#N/A",Senior Vice President of Operations,Prodly,"#N/A","#N/A",false,false
057749d0-d0f6-4690-b2e3-a87812fadbe3,59ab7747-ddc6-4f18-8223-9d512661589a,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+180@gmail.com,"#N/A","#N/A",Jena,false,"#N/A","#N/A",Seth,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(650) 111-3465,"#N/A","#N/A","#N/A",Director,Prodly,"#N/A","#N/A",false,false
05de3ba3-9de4-4ff5-9020-e81dcd23584b,c8b254a5-ba9a-44d6-915a-6e941ab0bd2e,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+381@gmail.com,"#N/A","#N/A",Malina,false,"#N/A","#N/A",Fabiano,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(566) 679-7377,"#N/A","#N/A","#N/A",Executive Vice President,Prodly,"#N/A","#N/A",false,false
066e8b84-c19a-4291-b4d9-1e53e3edc0ff,f29d9b3d-ad4d-42a9-b4c7-f5ec2296f455,"#N/A",(08) 8181 6340,"#N/A",Sales,"#N/A",jmanningcongagdo+839@gmail.com,"#N/A",(08) 8181 6340,Elna,false,"#N/A","#N/A",Pennie,"#N/A",Bateman,Australia,"#N/A","#N/A","#N/A",6150,WA,29 Noalimba Cr,0411 863 355,Bateman,Australia,"#N/A","#N/A","#N/A","#N/A",6150,WA,29 Noalimba Cr,(08) 8181 6340,"#N/A","#N/A","#N/A",Sales Manager,Prodly,"#N/A","#N/A",false,false
